age,credit_group,estimate,std_error,conf_low,conf_high,gradient
20,men-coded,0.0497489278645968,0.00195167669367982,0.0459236415449844,0.0535742141842093,0.0464103991516624|0|0.000147334600481468|-0.00394888022771699|0.00897472779026589|-0.0050258475625489|0.00842982803045689|0.0168784682277832|-0.000634346151591044|0.876732939722451|0.0674883204139126|0|0|0|0
20,women-coded,0.0410617718558612,0.00176482638488215,0.0376027121414922,0.0445208315702302,0.0387774538466733|0.0387774538466733|0.000123103028084677|-0.00329942262026099|0.00749868777332044|-0.00419926515305944|0.00704461258286176|0.0141017625611143|-0.000543943567448903|0.732602788780044|0.0562400691312161|0.000123103028084677|-0.00329942262026099|0.00749868777332044|-0.00419926515305944
21,men-coded,0.0518770450976743,0.00161694750518488,0.0487078279875119,0.0550462622078366,0.0482714798106748|0|0.000517194426542945|-0.00598156014268781|0.013594454869745|-0.00761289472705721|0.00868750511740397|0.0175466942277621|-0.000653899174192287|0.93902762566917|0.0694396571785565|0|0|0|0
21,women-coded,0.0459129613824992,0.00154135458706992,0.0428919063918422,0.0489340163731562,0.0430806716336305|0.0430806716336305|0.000461578624646042|-0.00533834117732931|0.0121325935848393|-0.00679425240751002|0.00775419585692728|0.0156588484997624|-0.000592906515895684|0.838129077078876|0.0618637072232861|0.000461578624646042|-0.00533834117732931|0.0121325935848393|-0.00679425240751002
22,men-coded,0.0537799162294731,0.00137532979026088,0.0510842698405618,0.0564755626183844,0.0499374210725901|0|0.00126825196374832|-0.007904438555812|0.0179646330813909|-0.0100601945255789|0.00908244484151046|0.0181798332314182|-0.000762664781157218|1.00116443702625|0.0713451135240585|0|0|0|0
22,women-coded,0.0508552764374562,0.00135824970938409,0.0481931070070634,0.053517445867849,0.0474146702257975|0.0474146702257975|0.00120418210097263|-0.00750512019631745|0.0170570913552669|-0.00955197115894948|0.00862436629849083|0.0172611810326544|-0.000728698142872985|0.950644064018715|0.0676843362610625|0.00120418210097263|-0.00750512019631745|0.0170570913552669|-0.00955197115894948
23,men-coded,0.0555474809094735,0.00127047498524886,0.0530573499383858,0.0580376118805613,0.0514676461774309|0|0.00255295863975352|-0.00960983800857295|0.0218405409285749|-0.0122307029200019|0.00948053671637534|0.0188319998477193|-0.000804812064940576|1.0639352075323|0.0730581336456305|0|0|0|0
23,women-coded,0.0558738968429052,0.00128399742094353,0.0533572618978559,0.0583905317879546,0.0517465840169436|0.0517465840169436|0.0025667948421103|-0.00966192019323198|0.0219589095300727|-0.0122969893368407|0.00953184982409586|0.0189340411017399|-0.00080863552412246|1.0696923316462|0.0734607928100033|0.0025667948421103|-0.00966192019323198|0.0219589095300727|-0.0122969893368407
24,men-coded,0.0569417932042554,0.00128123605673734,0.0544305705330502,0.0594530158754606,0.0526703448015038|0|0.00451460098298604|-0.0109405249077935|0.0248648293358942|-0.0139243044281008|0.00963200473743819|0.0192631207964394|-0.00067984177141537|1.12117375966131|0.0744744846520452|0|0|0|0
24,women-coded,0.0606021591865247,0.00133298391486975,0.05798951071338,0.0632148076596694,0.0557718261705685|0.0557718261705685|0.00478044224319158|-0.0115847552483615|0.0263289892008216|-0.0147442339524601|0.0101988658145796|0.0203970906228013|-0.000713587874110637|1.18706137014227|0.0789393522837369|0.00478044224319158|-0.0115847552483615|0.0263289892008216|-0.0147442339524601
25,men-coded,0.0585753830558307,0.00134775401204989,0.055933785192213,0.0612169809194485,0.0540680506040492|0|0.00735926244332892|-0.0118843661796877|0.0270099231356538|-0.0151255569559661|0.0100773056703245|0.0197802157139157|-0.000734588599753514|1.18479658021833|0.0759430685951628|0|0|0|0
25,women-coded,0.0655498298885813,0.00145772240629063,0.0626926939722517,0.0684069658049109,0.0599226291101141|0.0599226291101141|0.00815613562887663|-0.0131712251290391|0.0299346025659979|-0.0167633774369588|0.0111669000497197|0.0219215786881112|-0.000801173016572241|1.31274262567265|0.0843255266685964|0.00815613562887663|-0.0131712251290391|0.0299346025659979|-0.0167633774369588
26,men-coded,0.0598451220435791,0.00138129014698265,0.0571377933554931,0.0625524507316651,0.0551509538610002|0|0.0112052731654096|-0.0122154437901662|0.0277623722503777|-0.0155469284602115|0.010293074547125|0.0201628982838305|-0.000624125167604394|1.24160942437055|0.0770564539087593|0|0|0|0
26,women-coded,0.0699254807585897,0.00155166976448432,0.0668842080202005,0.072966753496979,0.0635448955407131|0.0635448955407131|0.012910708935256|-0.0140746269155368|0.0319877884444019|-0.0179131615288651|0.0118579582738879|0.0232315217500621|-0.000701179492567809|1.42994643500267|0.0890233131198855|0.012910708935256|-0.0140746269155368|0.0319877884444019|-0.0179131615288651
27,men-coded,0.0606888451350578,0.00133397574546908,0.0580742526739384,0.0633034375961771,0.0558706480810279|0|0.0161625803377259|-0.0118050737725847|0.0268297131195106|-0.0150246393469259|0.0105059138001289|0.0203920444029592|-0.000632130827290281|1.28750282223977|0.0777336181994475|0|0|0|0
27,women-coded,0.0734667749260679,0.00154456243930008,0.0704394325450397,0.076494117307096,0.0664449308215564|0.0664449308215564|0.0192215692733788|-0.0140393451141855|0.0319076025322397|-0.0178682574180543|0.0124916988490353|0.0242520831341403|-0.000727625543994342|1.53020365793363|0.0927557825935622|0.0192215692733788|-0.0140393451141855|0.0319076025322397|-0.0178682574180543
28,men-coded,0.0612886814778001,0.00121531667870629,0.0589066607875357,0.0636707021680644,0.0563813696194882|0|0.0222285935005129|-0.0106132487798934|0.0241916202167869|-0.0135473073214007|0.0105451139110977|0.0205568098155704|-0.000640363768359097|1.32880539518362|0.0781576831140812|0|0|0|0
28,women-coded,0.0762176760796183,0.0014445495349148,0.0733863589911853,0.0790489931680513,0.0686771758147358|0.0686771758147358|0.0270762671118466|-0.0129278156479961|0.0294673961644473|-0.0165017418520905|0.0128436440862593|0.0250409110431279|-0.000750305112446525|1.61723637888418|0.0955704025156066|0.0270762671118466|-0.0129278156479961|0.0294673961644473|-0.0165017418520905
29,men-coded,0.0615219035292848,0.00111803431968368,0.0593305562627048,0.0637132507958649,0.0565784686092521|0|0.0287195290334233|-0.00868085076728982|0.0202959828343414|-0.0113657503872312|0.0105324040534562|0.0205967314601738|-0.00056864826033618|1.35990870834404|0.0781714099595282|0|0|0|0
29,women-coded,0.0779208594795063,0.00138026924659097,0.075215531756188,0.0806261872028246,0.070046733349502|0.070046733349502|0.0355560912406617|-0.0107472905133338|0.0251273555578473|-0.0140713191123945|0.0130390022011447|0.0255017684967532|-0.000672417944676387|1.68189605863584|0.0971860996232237|0.0355560912406617|-0.0107472905133338|0.0251273555578473|-0.0140713191123945
30,men-coded,0.0615353280621435,0.00112929060624192,0.0593219184739093,0.0637487376503777,0.0565880701883082|0|0.034874820116053|-0.00613846419345126|0.0158642504460285|-0.00888398024977596|0.0104758735802645|0.020546203058577|-0.000520814796367592|1.38532943626928|0.0779534017372317|0|0|0|0
30,women-coded,0.0786860210407299,0.0014606895229308,0.0758230695757856,0.0815489725056743,0.0706567557028039|0.0706567557028039|0.0435452496775249|-0.00766458307314229|0.0198083529698585|-0.0110926776631207|0.0130807668720203|0.0256587189656011|-0.000620117645634326|1.72767342735388|0.0977569785369625|0.0435452496775249|-0.00766458307314229|0.0198083529698585|-0.0110926776631207
31,men-coded,0.0613644020044448,0.0012276697967998,0.0589581692027172,0.0637706348061724,0.0564383673510307|0|0.0399172069437578|-0.00310365335477202|0.0115767422356338|-0.00648297565195494|0.0103658288770397|0.0204840947394266|-0.000503943084189441|1.40680849819112|0.0775719128187483|0|0|0|0
31,women-coded,0.0785187151023368,0.00162726550637127,0.0753292747098491,0.0817081554948245,0.0705142104340714|0.0705142104340714|0.049872639172315|-0.00387771078514037|0.0144640051875912|-0.00809984290505107|0.0129534999188987|0.025597289203557|-0.00059896440758407|1.75534486111099|0.0973371045289703|0.049872639172315|-0.00387771078514037|0.0144640051875912|-0.00809984290505107
32,men-coded,0.0610646484678604,0.00131235425825129,0.0584924341216879,0.0636368628140329,0.0561800006352797|0|0.0431177635729722|0.000303896981848811|0.00810283878957472|-0.00453758972216184|0.0102866819543105|0.0203960570904393|-0.000546899195422934|1.42296908372797|0.0770262557097624|0|0|0|0
32,women-coded,0.0774799725243118,0.00173080994187123,0.0740875850382442,0.0808723600103794,0.0696733563809917|0.0696733563809917|0.0534738211783589|0.000376887192595785|0.0100489848397979|-0.00562743151028683|0.0127591204349092|0.0252991747870712|-0.00064953993631965|1.76227739572582|0.09591754333162|0.0534738211783589|0.000376887192595785|0.0100489848397979|-0.00562743151028683
33,men-coded,0.0605820329293954,0.00129903013679442,0.0580359338612783,0.0631281319975125,0.0557649265110089|0|0.0439140566503458|0.00395680610805199|0.00592421707935637|-0.00331092288271207|0.0101859913154548|0.0202013179610539|-0.000568365370854218|1.43361797296729|0.0763262475887072|0|0|0|0
33,women-coded,0.0755497989431866,0.00167748780165156,0.0722619228519495,0.0788376750344237,0.0681089295603236|0.0681089295603236|0.0536347768792631|0.00483267611666212|0.00723558890870758|-0.00404382158297621|0.0124427474432073|0.024678119342439|-0.000668627847619233|1.74853188292781|0.093567576572356|0.0536347768792631|0.00483267611666212|0.00723558890870758|-0.00404382158297621
