credit_group,age,artist_years,within_group_share
men-coded,35,95,0.0349393159249724
men-coded,36,92,0.0338359691062891
men-coded,39,56,0.020595807282089
men-coded,25,129,0.0474439132033836
men-coded,26,139,0.0511217359323281
men-coded,27,154,0.0566384700257448
men-coded,30,161,0.0592129459360059
men-coded,32,133,0.0489150422949614
men-coded,33,115,0.0422949613828613
men-coded,19,36,0.0132401618242001
men-coded,24,121,0.044501655020228
men-coded,28,142,0.0522250827510114
men-coded,31,137,0.0503861713865392
men-coded,29,136,0.0500183891136447
men-coded,34,99,0.0364104450165502
men-coded,21,58,0.0213313718278779
men-coded,22,81,0.0297903641044502
men-coded,16,11,0.00404560500183891
men-coded,23,97,0.0356748804707613
women-coded,16,17,0.0114170584284755
women-coded,17,31,0.0208193418401612
women-coded,18,39,0.0261920752182673
women-coded,19,38,0.025520483546004
women-coded,20,47,0.0315648085963734
women-coded,21,59,0.0396239086635326
women-coded,22,71,0.0476830087306917
women-coded,23,83,0.0557421087978509
women-coded,24,92,0.0617864338482203
men-coded,49,17,0.00625229863920559
men-coded,54,7,0.00257447591026113
men-coded,40,43,0.0158146377344612
men-coded,41,51,0.0187568959176168
men-coded,42,43,0.0158146377344612
men-coded,43,36,0.0132401618242001
men-coded,44,36,0.0132401618242001
women-coded,28,81,0.0543989254533244
women-coded,25,84,0.0564137004701142
women-coded,27,82,0.0550705171255877
women-coded,29,77,0.0517125587642713
women-coded,33,49,0.0329079919408999
women-coded,34,46,0.0308932169241101
women-coded,35,38,0.025520483546004
men-coded,37,81,0.0297903641044502
men-coded,38,74,0.027215888194189
men-coded,45,33,0.0121368150055167
men-coded,46,26,0.00956233909525561
men-coded,47,16,0.00588451636631114
men-coded,48,27,0.00993012136815006
men-coded,50,14,0.00514895182052225
men-coded,51,16,0.00588451636631114
women-coded,30,65,0.0436534586971122
women-coded,26,82,0.0550705171255877
women-coded,39,30,0.0201477501678979
men-coded,20,42,0.0154468554615668
women-coded,32,62,0.0416386836803224
women-coded,51,8,0.00537273337810611
women-coded,38,27,0.0181329751511081
women-coded,40,22,0.0147750167897918
women-coded,41,17,0.0114170584284755
women-coded,37,27,0.0181329751511081
women-coded,46,11,0.0073875083948959
women-coded,47,9,0.00604432505036938
women-coded,31,50,0.0335795836131632
women-coded,54,3,0.00201477501678979
women-coded,61,1,0.000671591672263264
women-coded,56,6,0.00402955003357958
men-coded,17,17,0.00625229863920559
women-coded,15,6,0.00402955003357958
women-coded,42,17,0.0114170584284755
women-coded,43,12,0.00805910006715917
men-coded,75,4,0.00147112909157779
women-coded,70,1,0.000671591672263264
women-coded,71,1,0.000671591672263264
women-coded,72,1,0.000671591672263264
women-coded,73,1,0.000671591672263264
women-coded,74,1,0.000671591672263264
women-coded,75,1,0.000671591672263264
women-coded,76,1,0.000671591672263264
women-coded,77,3,0.00201477501678979
women-coded,78,3,0.00201477501678979
women-coded,79,2,0.00134318334452653
women-coded,80,2,0.00134318334452653
men-coded,53,10,0.00367782272894447
men-coded,56,8,0.00294225818315557
men-coded,59,6,0.00220669363736668
men-coded,60,4,0.00147112909157779
men-coded,61,5,0.00183891136447223
women-coded,36,28,0.0188045668233714
men-coded,52,13,0.00478116954762781
women-coded,50,7,0.00470114170584285
women-coded,52,4,0.00268636668905306
women-coded,53,4,0.00268636668905306
men-coded,18,28,0.0102979036410445
women-coded,44,8,0.00537273337810611
men-coded,55,10,0.00367782272894447
men-coded,69,2,0.000735564545788893
men-coded,76,5,0.00183891136447223
men-coded,77,4,0.00147112909157779
men-coded,78,4,0.00147112909157779
men-coded,79,5,0.00183891136447223
men-coded,80,5,0.00183891136447223
men-coded,68,3,0.00110334681868334
men-coded,57,4,0.00147112909157779
men-coded,58,4,0.00147112909157779
men-coded,62,3,0.00110334681868334
women-coded,63,3,0.00201477501678979
women-coded,66,1,0.000671591672263264
women-coded,67,2,0.00134318334452653
women-coded,45,8,0.00537273337810611
men-coded,15,2,0.000735564545788893
women-coded,48,5,0.00335795836131632
men-coded,72,1,0.000367782272894447
men-coded,73,2,0.000735564545788893
men-coded,74,1,0.000367782272894447
men-coded,67,4,0.00147112909157779
women-coded,64,1,0.000671591672263264
men-coded,64,3,0.00110334681868334
women-coded,62,1,0.000671591672263264
women-coded,49,5,0.00335795836131632
women-coded,55,2,0.00134318334452653
women-coded,59,1,0.000671591672263264
men-coded,63,3,0.00110334681868334
men-coded,65,2,0.000735564545788893
men-coded,66,1,0.000367782272894447
women-coded,60,2,0.00134318334452653
men-coded,70,1,0.000367782272894447
men-coded,71,1,0.000367782272894447
women-coded,57,1,0.000671591672263264
