credit_group,age_band_start,age_band,artist_years,returned_artist_years,return_rate,return_se,conf_low,conf_high
men-coded,15,15-19,83,56,0.674698795180723,0.0514231595382512,0.573909402485751,0.775488187875695
men-coded,20,20-24,327,225,0.688073394495413,0.025619444920839,0.637859282450568,0.738287506540257
men-coded,25,25-29,580,399,0.687931034482759,0.0192390553875148,0.65022248592323,0.725639583042288
men-coded,30,30-34,519,373,0.71868978805395,0.0197369393707412,0.680005386887297,0.757374189220603
men-coded,35,35-39,335,237,0.707462686567164,0.0248553567115964,0.658746187412435,0.756179185721893
men-coded,40,40-44,179,131,0.731843575418994,0.0331113371980707,0.666945354510776,0.796741796327213
men-coded,45,45-49,89,62,0.696629213483146,0.0487295854582468,0.601119225984982,0.79213920098131
men-coded,50,50-54,49,32,0.653061224489796,0.0679994390069423,0.519782324036189,0.786340124943403
men-coded,55,55-59,25,13,0.52,0.0999199679743744,0.324156862770226,0.715843137229774
men-coded,60,60-64,12,8,0.666666666666667,0.136082763487954,0.399944450230276,0.933388883103057
men-coded,65,65-69,5,0,0,0,0,0
men-coded,70,70-74,4,3,0.75,0.21650635094611,0.325647552145625,1
men-coded,75,75-79,9,7,0.777777777777778,0.13857990321385,0.506161167478632,1
men-coded,80,80-84,1,0,0,0,0,0
women-coded,15,15-19,121,75,0.619834710743802,0.0441297525336992,0.533340395777751,0.706329025709852
women-coded,20,20-24,306,216,0.705882352941177,0.0260474966335322,0.654829259539453,0.7569354463429
women-coded,25,25-29,330,221,0.66969696969697,0.0258903830557747,0.618951818907651,0.720442120486288
women-coded,30,30-34,226,153,0.676991150442478,0.0311060228542633,0.616023345648122,0.737958955236834
women-coded,35,35-39,126,90,0.714285714285714,0.0402454407013579,0.635404650511053,0.793166778060376
women-coded,40,40-44,60,36,0.6,0.0632455532033676,0.4760387157214,0.7239612842786
women-coded,45,45-49,33,20,0.606060606060606,0.0850581170020893,0.439346696736511,0.772774515384701
women-coded,50,50-54,17,8,0.470588235294118,0.121057824806477,0.233314898673423,0.707861571914812
women-coded,55,55-59,6,1,0.166666666666667,0.152145154862546,0,0.464871170197257
women-coded,60,60-64,5,2,0.4,0.219089023002066,0,0.82941448508405
women-coded,65,65-69,3,1,0.333333333333333,0.272165526975909,0,0.866777766206114
women-coded,70,70-74,5,5,1,0,1,1
women-coded,75,75-79,5,5,1,0,1,1
