age,men-coded,women-coded,total_artist_years,women_share
15,2,6,8,0.75
16,11,17,28,0.607142857142857
17,17,31,48,0.645833333333333
18,28,39,67,0.582089552238806
19,36,38,74,0.513513513513514
20,42,47,89,0.528089887640449
21,58,59,117,0.504273504273504
22,81,71,152,0.467105263157895
23,97,83,180,0.461111111111111
24,121,92,213,0.431924882629108
25,129,84,213,0.394366197183099
26,139,82,221,0.3710407239819
27,154,82,236,0.347457627118644
28,142,81,223,0.36322869955157
29,136,77,213,0.36150234741784
30,161,65,226,0.287610619469027
31,137,50,187,0.267379679144385
32,133,62,195,0.317948717948718
33,115,49,164,0.298780487804878
34,99,46,145,0.317241379310345
35,95,38,133,0.285714285714286
36,92,28,120,0.233333333333333
37,81,27,108,0.25
38,74,27,101,0.267326732673267
39,56,30,86,0.348837209302326
40,43,22,65,0.338461538461539
41,51,17,68,0.25
42,43,17,60,0.283333333333333
43,36,12,48,0.25
44,36,8,44,0.181818181818182
45,33,8,41,0.195121951219512
46,26,11,37,0.297297297297297
47,16,9,25,0.36
48,27,5,32,0.15625
49,17,5,22,0.227272727272727
50,14,7,21,0.333333333333333
51,16,8,24,0.333333333333333
52,13,4,17,0.235294117647059
53,10,4,14,0.285714285714286
54,7,3,10,0.3
55,10,2,12,0.166666666666667
56,8,6,14,0.428571428571429
57,4,1,5,0.2
58,4,0,4,0
59,6,1,7,0.142857142857143
60,4,2,6,0.333333333333333
61,5,1,6,0.166666666666667
62,3,1,4,0.25
63,3,3,6,0.5
64,3,1,4,0.25
65,2,0,2,0
66,1,1,2,0.5
67,4,2,6,0.333333333333333
68,3,0,3,0
69,2,0,2,0
70,1,1,2,0.5
71,1,1,2,0.5
72,1,1,2,0.5
73,2,1,3,0.333333333333333
74,1,1,2,0.5
75,4,1,5,0.2
76,5,1,6,0.166666666666667
77,4,3,7,0.428571428571429
78,4,3,7,0.428571428571429
79,5,2,7,0.285714285714286
80,5,2,7,0.285714285714286
