credit_group,age,performer_years,exits,exit_hazard
men-coded,18,839,0,0
men-coded,19,1365,75,0.054945054945055
men-coded,20,1766,98,0.0554926387315968
men-coded,21,2201,128,0.0581553839164016
men-coded,22,2725,172,0.0631192660550459
men-coded,23,3249,189,0.0581717451523546
men-coded,24,3833,224,0.0584398643360292
men-coded,25,4461,248,0.0555929163864604
men-coded,26,5049,269,0.0532778768072886
men-coded,27,5504,321,0.0583212209302326
men-coded,28,5923,345,0.0582475097079183
men-coded,29,6230,354,0.0568218298555377
men-coded,30,6486,376,0.0579710144927536
men-coded,31,6702,427,0.0637123246792002
men-coded,32,6768,410,0.0605791962174941
men-coded,33,6812,414,0.0607751027598356
men-coded,34,6752,383,0.0567239336492891
men-coded,35,6648,345,0.0518953068592058
men-coded,36,6184,354,0.0572445019404916
men-coded,37,5702,283,0.049631708172571
men-coded,38,5276,261,0.0494692949203942
men-coded,39,4846,201,0.0414775072224515
men-coded,40,4432,167,0.0376805054151625
men-coded,41,4051,135,0.0333251049123673
men-coded,42,3667,130,0.0354513226070357
men-coded,43,3288,89,0.0270681265206813
men-coded,44,2895,72,0.0248704663212435
men-coded,45,2554,49,0.019185591229444
men-coded,46,2192,46,0.020985401459854
men-coded,47,1881,27,0.0143540669856459
men-coded,48,1578,18,0.0114068441064639
men-coded,49,1338,14,0.0104633781763827
men-coded,50,1077,13,0.0120705663881151
men-coded,51,868,9,0.01036866359447
men-coded,52,682,6,0.00879765395894428
men-coded,53,495,3,0.00606060606060606
men-coded,54,347,0,0
men-coded,55,250,0,0
men-coded,56,157,0,0
men-coded,57,100,0,0
men-coded,58,52,0,0
men-coded,59,28,0,0
men-coded,60,6,0,0
women-coded,18,1034,0,0
women-coded,19,1617,72,0.0445269016697588
women-coded,20,2130,85,0.039906103286385
women-coded,21,2739,136,0.049653158086893
women-coded,22,3287,181,0.0550654091877092
women-coded,23,3867,189,0.0488750969743988
women-coded,24,4420,254,0.0574660633484163
women-coded,25,4841,291,0.0601115472009915
women-coded,26,5204,323,0.0620676402767102
women-coded,27,5452,368,0.0674981658107117
women-coded,28,5575,383,0.0686995515695067
women-coded,29,5580,364,0.0652329749103943
women-coded,30,5530,419,0.0757685352622061
women-coded,31,5411,351,0.0648678617630752
women-coded,32,5300,349,0.0658490566037736
women-coded,33,5149,324,0.0629248397747135
women-coded,34,4941,339,0.0686095931997571
women-coded,35,4678,267,0.0570756733646858
women-coded,36,4298,255,0.0593299208934388
women-coded,37,3889,203,0.0521985086140396
women-coded,38,3526,166,0.0470788428814521
women-coded,39,3175,142,0.0447244094488189
women-coded,40,2822,95,0.0336640680368533
women-coded,41,2470,81,0.0327935222672065
women-coded,42,2148,49,0.0228119180633147
women-coded,43,1858,38,0.0204520990312164
women-coded,44,1566,39,0.024904214559387
women-coded,45,1312,26,0.0198170731707317
women-coded,46,1082,18,0.0166358595194085
women-coded,47,904,10,0.0110619469026549
women-coded,48,733,9,0.0122783083219645
women-coded,49,602,8,0.0132890365448505
women-coded,50,488,4,0.00819672131147541
women-coded,51,372,6,0.0161290322580645
women-coded,52,263,3,0.0114068441064639
women-coded,53,191,2,0.0104712041884817
women-coded,54,142,2,0.0140845070422535
women-coded,55,98,0,0
women-coded,56,60,0,0
women-coded,57,32,0,0
women-coded,58,19,0,0
women-coded,59,14,0,0
women-coded,60,3,0,0
