credit_group,age,credited_performer_years,credited_performers,median_taper_ratio,severe_taper_share
men-coded,23,337,337,1,0
men-coded,24,470,470,0.888888888888889,0.00212765957446809
men-coded,25,619,619,0.857142857142857,0.012924071082391
men-coded,26,852,852,0.853571428571429,0.0305164319248826
men-coded,27,957,957,0.833333333333333,0.0365726227795193
men-coded,28,1119,1119,0.8,0.0348525469168901
men-coded,29,1360,1360,0.8125,0.0367647058823529
men-coded,30,1616,1616,0.8,0.0396039603960396
men-coded,31,1900,1900,0.8,0.0473684210526316
men-coded,32,2278,2278,0.782608695652174,0.0597014925373134
men-coded,33,2505,2505,0.777777777777778,0.0538922155688623
men-coded,34,2723,2723,0.75,0.0580242379728241
men-coded,35,2821,2821,0.75,0.0503367600141794
men-coded,36,3013,3013,0.75,0.054430799867242
men-coded,37,3186,3186,0.727272727272727,0.061519146264909
men-coded,38,3312,3312,0.727272727272727,0.0676328502415459
men-coded,39,3391,3391,0.714285714285714,0.0690061928634621
men-coded,40,3661,3661,0.714285714285714,0.074842939087681
men-coded,41,3659,3659,0.695652173913044,0.0713309647444657
men-coded,42,3804,3804,0.6875,0.0838590956887487
men-coded,43,3719,3719,0.666666666666667,0.0855068566819037
men-coded,44,3799,3799,0.666666666666667,0.0826533298236378
men-coded,45,3782,3782,0.666666666666667,0.0875198307773665
men-coded,46,3810,3810,0.666666666666667,0.0881889763779528
men-coded,47,3804,3804,0.666666666666667,0.0906940063091483
men-coded,48,3672,3672,0.647058823529412,0.0947712418300654
men-coded,49,3753,3753,0.636363636363636,0.092992272848388
men-coded,50,3680,3680,0.644957983193277,0.0989130434782609
men-coded,51,3659,3659,0.642857142857143,0.0948346542771249
men-coded,52,3564,3564,0.631578947368421,0.100448933782267
men-coded,53,3460,3460,0.632704402515723,0.0950867052023121
men-coded,54,3360,3360,0.625,0.105654761904762
men-coded,55,3168,3168,0.615384615384615,0.106060606060606
men-coded,56,3125,3125,0.6,0.11168
men-coded,57,2965,2965,0.6,0.10893760539629
men-coded,58,2895,2895,0.6,0.129879101899827
men-coded,59,2810,2810,0.6,0.12491103202847
men-coded,60,2800,2800,0.583333333333333,0.129285714285714
men-coded,61,2662,2662,0.588235294117647,0.126596543951916
men-coded,62,2528,2528,0.578947368421053,0.129746835443038
men-coded,63,2367,2367,0.588235294117647,0.129700042247571
men-coded,64,2249,2249,0.571428571428571,0.140506891951979
men-coded,65,2083,2083,0.571428571428571,0.134421507441191
men-coded,66,1987,1987,0.6,0.123804730749874
men-coded,67,1830,1830,0.583333333333333,0.134426229508197
men-coded,68,1774,1774,0.55718954248366,0.144870349492672
men-coded,69,1618,1618,0.553639846743295,0.163164400494438
men-coded,70,1518,1518,0.538461538461538,0.159420289855072
men-coded,71,1378,1378,0.538461538461538,0.169811320754717
men-coded,72,1330,1330,0.545454545454545,0.163157894736842
men-coded,73,1235,1235,0.545454545454545,0.180566801619433
men-coded,74,1089,1089,0.5,0.173553719008264
men-coded,75,1009,1009,0.5,0.178394449950446
men-coded,76,900,900,0.529411764705882,0.147777777777778
men-coded,77,837,837,0.5,0.187574671445639
men-coded,78,744,744,0.5,0.189516129032258
men-coded,79,620,620,0.53452380952381,0.203225806451613
men-coded,80,538,538,0.555555555555556,0.16728624535316
women-coded,23,450,450,1,0
women-coded,24,616,616,0.888888888888889,0.00324675324675325
women-coded,25,871,871,0.857142857142857,0.0103329506314581
women-coded,26,1079,1079,0.833333333333333,0.0139017608897127
women-coded,27,1315,1315,0.833333333333333,0.0281368821292776
women-coded,28,1612,1612,0.82554347826087,0.0353598014888338
women-coded,29,1893,1893,0.8,0.0353935552033809
women-coded,30,2102,2102,0.8,0.0485252140818268
women-coded,31,2369,2369,0.777777777777778,0.0552975939214859
women-coded,32,2618,2618,0.75,0.0492742551566081
women-coded,33,2792,2792,0.75,0.0659025787965616
women-coded,34,2878,2878,0.75,0.0628908964558721
women-coded,35,2947,2947,0.727272727272727,0.0719375636240244
women-coded,36,2925,2925,0.714285714285714,0.0625641025641026
women-coded,37,2846,2846,0.7,0.0780042164441321
women-coded,38,2794,2794,0.666666666666667,0.0923407301360057
women-coded,39,2790,2790,0.648529411764706,0.110394265232975
women-coded,40,2688,2688,0.626785714285714,0.105654761904762
women-coded,41,2605,2605,0.615384615384615,0.126679462571977
women-coded,42,2559,2559,0.615384615384615,0.119187182493161
women-coded,43,2479,2479,0.615384615384615,0.123840258168616
women-coded,44,2369,2369,0.615384615384615,0.122836639932461
women-coded,45,2328,2328,0.613247863247863,0.122852233676976
women-coded,46,2227,2227,0.611111111111111,0.121239335428828
women-coded,47,2150,2150,0.615384615384615,0.12093023255814
women-coded,48,2004,2004,0.625,0.115269461077844
women-coded,49,1941,1941,0.6,0.126223596084493
women-coded,50,1852,1852,0.625,0.113390928725702
women-coded,51,1815,1815,0.6,0.128374655647383
women-coded,52,1714,1714,0.6,0.131271878646441
women-coded,53,1686,1686,0.6,0.125741399762752
women-coded,54,1549,1549,0.6,0.120077469335055
women-coded,55,1469,1469,0.611111111111111,0.124574540503744
women-coded,56,1336,1336,0.625,0.109281437125749
women-coded,57,1287,1287,0.615384615384615,0.11965811965812
women-coded,58,1201,1201,0.6,0.121565362198168
women-coded,59,1117,1117,0.6,0.131602506714414
women-coded,60,1099,1099,0.6,0.151046405823476
women-coded,61,1036,1036,0.581989247311828,0.132239382239382
women-coded,62,923,923,0.578947368421053,0.117009750812568
women-coded,63,890,890,0.571428571428571,0.132584269662921
women-coded,64,849,849,0.571428571428571,0.129564193168433
women-coded,65,805,805,0.583333333333333,0.13167701863354
women-coded,66,775,775,0.6,0.123870967741936
women-coded,67,713,713,0.636363636363636,0.113604488078541
women-coded,68,668,668,0.64010989010989,0.110778443113772
women-coded,69,651,651,0.6,0.135176651305684
women-coded,70,646,646,0.6,0.130030959752322
women-coded,71,590,590,0.602197802197802,0.127118644067797
women-coded,72,538,538,0.6,0.102230483271375
women-coded,73,537,537,0.555555555555556,0.150837988826816
women-coded,74,451,451,0.6,0.141906873614191
women-coded,75,416,416,0.6,0.149038461538462
women-coded,76,403,403,0.6,0.141439205955335
women-coded,77,377,377,0.571428571428571,0.161803713527851
women-coded,78,339,339,0.615384615384615,0.12094395280236
women-coded,79,309,309,0.6,0.15210355987055
women-coded,80,323,323,0.6,0.160990712074303
