scope,age,women_roles,men_roles,women_share,classification_threshold,prominence
film,32,2943,3373,0.465959468017733,0.8,top-3
film,31,3088,3307,0.482877247849883,0.8,top-3
film,62,391,1464,0.21078167115903,0.8,top-3
film,52,769,2278,0.252379389563505,0.8,top-3
film,30,3179,3048,0.510518708848563,0.8,top-3
film,35,2516,3581,0.412661964900771,0.8,top-3
film,26,2890,2332,0.553427805438529,0.8,top-3
film,67,307,1075,0.222141823444284,0.8,top-3
film,44,1279,3066,0.294361334867664,0.8,top-3
film,37,2124,3463,0.380168247717917,0.8,top-3
film,55,599,1940,0.235919653406853,0.8,top-3
film,54,725,2077,0.258743754461099,0.8,top-3
film,65,314,1181,0.210033444816054,0.8,top-3
film,22,1903,1304,0.593389460555036,0.8,top-3
film,64,358,1251,0.222498446239901,0.8,top-3
television,37,2666,4073,0.395607656922392,0.8,top-3
television,32,3511,4217,0.454321946169772,0.8,top-3
television,30,3770,4013,0.484389053064371,0.8,top-3
television,26,3543,3069,0.535843920145191,0.8,top-3
television,52,1114,2362,0.3204833141542,0.8,top-3
television,31,3632,4234,0.461734045258073,0.8,top-3
television,54,981,2115,0.316860465116279,0.8,top-3
television,35,3033,4284,0.414514145141451,0.8,top-3
television,44,1835,3402,0.350391445484056,0.8,top-3
television,22,2146,1743,0.551812805348419,0.8,top-3
television,64,461,1061,0.302890932982917,0.8,top-3
television,65,446,950,0.319484240687679,0.8,top-3
television,55,896,2008,0.308539944903581,0.8,top-3
television,62,525,1225,0.3,0.8,top-3
television,67,395,849,0.317524115755627,0.8,top-3
overall,63,868,2393,0.266176019625882,0.8,top-3
overall,34,5911,7720,0.433643899933974,0.8,top-3
overall,28,7002,6476,0.519513280902211,0.8,top-3
overall,29,6987,6841,0.505279143766271,0.8,top-3
overall,42,3520,6845,0.339604438012542,0.8,top-3
overall,49,2249,5462,0.291661263130593,0.8,top-3
overall,39,4217,7252,0.367686807916994,0.8,top-3
overall,47,2536,5597,0.311816058035165,0.8,top-3
overall,60,1089,3060,0.262472885032538,0.8,top-3
overall,50,2067,5022,0.291578501904359,0.8,top-3
overall,70,543,1440,0.273827534039334,0.8,top-3
film,29,3200,2969,0.518722645485492,0.8,top-3
film,70,225,856,0.208140610545791,0.8,top-3
film,34,2641,3478,0.431606471645694,0.8,top-3
film,28,3127,2796,0.527941921323654,0.8,top-3
film,39,1819,3429,0.346608231707317,0.8,top-3
film,42,1482,3222,0.315051020408163,0.8,top-3
film,49,924,2694,0.255389718076285,0.8,top-3
film,63,372,1251,0.229205175600739,0.8,top-3
film,60,468,1620,0.224137931034483,0.8,top-3
film,47,1084,2734,0.283918281822944,0.8,top-3
film,50,850,2407,0.26097635861222,0.8,top-3
television,42,2038,3623,0.360007065889419,0.8,top-3
television,47,1452,2863,0.336500579374276,0.8,top-3
television,70,318,584,0.352549889135255,0.8,top-3
television,28,3875,3680,0.512905360688286,0.8,top-3
television,39,2398,3823,0.385468574184215,0.8,top-3
television,29,3787,3872,0.494450972711842,0.8,top-3
television,50,1217,2615,0.31758872651357,0.8,top-3
television,60,621,1440,0.301310043668122,0.8,top-3
television,34,3270,4242,0.435303514376997,0.8,top-3
television,63,496,1142,0.302808302808303,0.8,top-3
television,49,1325,2768,0.323723430246763,0.8,top-3
overall,37,4790,7536,0.388609443452864,0.8,top-3
overall,55,1495,3948,0.274664706963072,0.8,top-3
overall,35,5549,7865,0.413672282689727,0.8,top-3
overall,32,6454,7590,0.45955568214184,0.8,top-3
overall,65,760,2131,0.262884814942926,0.8,top-3
overall,26,6433,5401,0.543603177285787,0.8,top-3
overall,44,3114,6468,0.32498434564809,0.8,top-3
overall,22,4049,3047,0.570603156708005,0.8,top-3
overall,31,6720,7541,0.471215202299979,0.8,top-3
overall,54,1706,4192,0.289250593421499,0.8,top-3
overall,30,6949,7061,0.496002855103498,0.8,top-3
overall,67,702,1924,0.267326732673267,0.8,top-3
overall,62,916,2689,0.254091539528433,0.8,top-3
overall,64,819,2312,0.261577770680294,0.8,top-3
overall,52,1883,4640,0.288670856967653,0.8,top-3
film,36,2280,3592,0.388283378746594,0.8,top-3
film,40,1754,3329,0.345071807987409,0.8,top-3
film,38,1942,3552,0.353476519839825,0.8,top-3
film,33,2721,3467,0.439722042663219,0.8,top-3
film,20,1224,768,0.614457831325301,0.8,top-3
film,24,2588,1778,0.592762253779203,0.8,top-3
film,45,1279,2984,0.300023457658926,0.8,top-3
film,58,503,1788,0.219554779572239,0.8,top-3
film,51,801,2303,0.25805412371134,0.8,top-3
film,56,601,1980,0.232855482371174,0.8,top-3
film,23,2204,1428,0.606828193832599,0.8,top-3
film,53,789,2200,0.263967882234861,0.8,top-3
film,43,1393,3081,0.31135449262405,0.8,top-3
film,41,1643,3240,0.33647347941839,0.8,top-3
film,68,306,909,0.251851851851852,0.8,top-3
film,69,258,850,0.232851985559567,0.8,top-3
television,58,708,1632,0.302564102564103,0.8,top-3
television,36,2903,4204,0.408470522020543,0.8,top-3
television,24,2961,2392,0.553147767606949,0.8,top-3
television,53,968,2245,0.301276065981948,0.8,top-3
television,20,1545,1235,0.555755395683453,0.8,top-3
television,33,3362,4248,0.441787122207622,0.8,top-3
television,40,2245,3954,0.362155186320374,0.8,top-3
television,69,331,644,0.33948717948718,0.8,top-3
television,45,1770,3217,0.354922799278123,0.8,top-3
television,23,2572,2047,0.556830482788482,0.8,top-3
television,51,1132,2457,0.315408191696851,0.8,top-3
television,41,2102,3729,0.360487051963643,0.8,top-3
television,38,2537,3962,0.390367748884444,0.8,top-3
television,43,1933,3493,0.356247696277184,0.8,top-3
television,68,345,717,0.324858757062147,0.8,top-3
television,56,792,1873,0.29718574108818,0.8,top-3
overall,27,6835,6103,0.528288761786984,0.8,top-3
overall,66,765,1962,0.280528052805281,0.8,top-3
overall,25,6014,4825,0.554848233231848,0.8,top-3
overall,46,2766,5960,0.316983726793491,0.8,top-3
overall,48,2365,5386,0.30512191975229,0.8,top-3
overall,57,1320,3587,0.269003464438557,0.8,top-3
overall,59,1170,3157,0.270395192974347,0.8,top-3
overall,61,1008,2848,0.261410788381743,0.8,top-3
overall,21,3418,2428,0.584673280875813,0.8,top-3
film,27,3061,2617,0.539098274040155,0.8,top-3
film,25,2755,2025,0.576359832635983,0.8,top-3
film,57,573,1837,0.237759336099585,0.8,top-3
film,21,1617,976,0.623602005399152,0.8,top-3
film,66,356,1124,0.240540540540541,0.8,top-3
film,61,407,1500,0.213424226533823,0.8,top-3
film,48,976,2615,0.271790587580061,0.8,top-3
film,46,1158,2911,0.28459080855247,0.8,top-3
film,59,505,1668,0.232397606994938,0.8,top-3
television,27,3774,3486,0.519834710743802,0.8,top-3
television,21,1801,1452,0.553642791269597,0.8,top-3
television,57,747,1750,0.299158990788947,0.8,top-3
television,66,409,838,0.327987169206095,0.8,top-3
television,46,1608,3049,0.34528666523513,0.8,top-3
television,25,3259,2800,0.53787753754745,0.8,top-3
television,59,665,1489,0.308727948003714,0.8,top-3
television,48,1389,2771,0.333894230769231,0.8,top-3
television,61,601,1348,0.308363263211904,0.8,top-3
overall,40,3999,7283,0.354458429356497,0.8,top-3
overall,69,589,1494,0.28276524243879,0.8,top-3
overall,20,2769,2003,0.580259849119866,0.8,top-3
overall,23,4776,3475,0.578838928614713,0.8,top-3
overall,36,5183,7796,0.399337391170352,0.8,top-3
overall,38,4479,7514,0.373467856249479,0.8,top-3
overall,45,3049,6201,0.329621621621622,0.8,top-3
overall,51,1933,4760,0.2888092036456,0.8,top-3
overall,58,1211,3420,0.261498596415461,0.8,top-3
overall,41,3745,6969,0.349542654470786,0.8,top-3
overall,43,3326,6574,0.335959595959596,0.8,top-3
overall,33,6083,7715,0.440860994347007,0.8,top-3
overall,53,1757,4445,0.283295711060948,0.8,top-3
overall,24,5549,4170,0.570943512707069,0.8,top-3
overall,56,1393,3853,0.265535646206634,0.8,top-3
overall,68,651,1626,0.285902503293808,0.8,top-3
film,49,1459,4221,0.256866197183099,0.8,top-5
film,42,2200,4833,0.31281103369828,0.8,top-5
film,47,1722,4311,0.285430134261561,0.8,top-5
film,34,3853,5104,0.430166350340516,0.8,top-5
film,39,2615,5027,0.342187908924365,0.8,top-5
film,28,4530,4096,0.525156503593786,0.8,top-5
film,29,4570,4379,0.510671583417142,0.8,top-5
film,63,681,2099,0.244964028776978,0.8,top-5
film,60,794,2685,0.228226501868353,0.8,top-5
film,70,412,1373,0.230812324929972,0.8,top-5
television,28,5745,5410,0.515015688032273,0.8,top-5
television,42,3089,5609,0.355139112439641,0.8,top-5
television,70,522,973,0.349163879598662,0.8,top-5
television,47,2271,4530,0.33392148213498,0.8,top-5
television,29,5681,5673,0.500352298749339,0.8,top-5
television,34,4847,6316,0.434202275374003,0.8,top-5
television,39,3542,5759,0.380819266745511,0.8,top-5
television,50,1881,4160,0.311372289356067,0.8,top-5
television,60,978,2321,0.296453470748712,0.8,top-5
television,49,2022,4337,0.317974524296273,0.8,top-5
film,50,1352,3941,0.255431702248252,0.8,top-5
television,63,816,1873,0.30345853477129,0.8,top-5
overall,44,4791,9945,0.325122149837134,0.8,top-5
overall,26,9453,7878,0.545438809070452,0.8,top-5
overall,37,6970,11262,0.382294866169373,0.8,top-5
overall,22,5896,4405,0.572371614406368,0.8,top-5
overall,31,9773,10924,0.472194037783254,0.8,top-5
overall,30,9984,10407,0.489627776960424,0.8,top-5
overall,32,9476,11155,0.459308807134894,0.8,top-5
overall,54,2713,6709,0.287943111865846,0.8,top-5
overall,64,1393,3781,0.269230769230769,0.8,top-5
overall,62,1529,4370,0.25919647397864,0.8,top-5
overall,35,8082,11467,0.413422681467083,0.8,top-5
overall,52,3070,7471,0.291243715017551,0.8,top-5
overall,55,2434,6426,0.274717832957111,0.8,top-5
overall,65,1313,3521,0.271617707902358,0.8,top-5
overall,67,1174,3073,0.276430421473982,0.8,top-5
film,37,3048,5155,0.371571376325735,0.8,top-5
film,30,4452,4525,0.49593405369277,0.8,top-5
film,52,1287,3710,0.257554532719632,0.8,top-5
film,31,4370,4780,0.477595628415301,0.8,top-5
film,26,4272,3389,0.557629552277771,0.8,top-5
film,54,1203,3353,0.26404741000878,0.8,top-5
film,32,4196,4962,0.458178641624809,0.8,top-5
film,35,3567,5190,0.407331277834875,0.8,top-5
film,64,636,2056,0.236255572065379,0.8,top-5
film,44,1991,4675,0.298679867986799,0.8,top-5
film,67,538,1694,0.241039426523298,0.8,top-5
film,55,1043,3210,0.245238655067012,0.8,top-5
film,62,666,2376,0.218934911242604,0.8,top-5
television,26,5181,4489,0.535780765253361,0.8,top-5
television,32,5280,6193,0.460210930009588,0.8,top-5
television,37,3922,6107,0.391065908864294,0.8,top-5
television,52,1783,3761,0.321608946608947,0.8,top-5
television,44,2800,5270,0.346964064436183,0.8,top-5
television,54,1510,3356,0.310316481709823,0.8,top-5
television,22,3154,2515,0.556359146233904,0.8,top-5
television,55,1391,3216,0.30193184284784,0.8,top-5
television,31,5403,6144,0.467913743829566,0.8,top-5
television,35,4515,6277,0.418365455893254,0.8,top-5
television,30,5532,5882,0.484667951638339,0.8,top-5
television,64,757,1725,0.304995970991136,0.8,top-5
television,62,863,1994,0.302065103255163,0.8,top-5
television,65,744,1560,0.322916666666667,0.8,top-5
film,65,569,1961,0.224901185770751,0.8,top-5
film,22,2742,1890,0.591968911917098,0.8,top-5
television,67,636,1379,0.315632754342432,0.8,top-5
overall,34,8700,11420,0.432405566600398,0.8,top-5
overall,28,10275,9506,0.519437844396138,0.8,top-5
overall,47,3993,8841,0.311126694717158,0.8,top-5
overall,39,6157,10786,0.363394912353184,0.8,top-5
overall,60,1772,5006,0.261434051342579,0.8,top-5
overall,42,5289,10442,0.336215116648656,0.8,top-5
overall,29,10251,10052,0.504900753583214,0.8,top-5
overall,70,934,2346,0.284756097560976,0.8,top-5
overall,50,3233,8101,0.285247926592553,0.8,top-5
overall,49,3481,8558,0.28914361657945,0.8,top-5
overall,63,1497,3972,0.273724629731212,0.8,top-5
film,40,2560,5021,0.337686321065823,0.8,top-5
film,51,1356,3739,0.266143277723258,0.8,top-5
film,41,2431,4933,0.330119500271592,0.8,top-5
film,20,1792,1146,0.609938733832539,0.8,top-5
film,38,2813,5196,0.3512298664003,0.8,top-5
film,53,1269,3563,0.26262417218543,0.8,top-5
film,33,3895,5108,0.432633566588915,0.8,top-5
