credit_group,medium,age_band,credited_roles,explicit_grandparent_roles,grandparent_label_rate,explicit_parent_roles,parent_label_rate,explicit_spouse_roles,spouse_label_rate
men-coded,film,20-29,28556,167,0.00584815800532287,50,0.00175094551057571,16,0.000560302563384227
men-coded,film,30-34,25116,180,0.00716674629718108,91,0.0036231884057971,37,0.00147316451664278
men-coded,film,35-39,26521,202,0.00761660570868369,144,0.00542965951510124,52,0.00196071038045323
men-coded,film,40-49,47092,378,0.00802684107704069,547,0.0116155610294742,97,0.00205979784252102
men-coded,film,50-59,34114,283,0.00829571436946708,772,0.0226300052764261,39,0.00114322565515624
men-coded,film,60-69,20523,261,0.0127174389709107,619,0.0301612824635775,18,0.00087706475661453
men-coded,film,70-80,9027,154,0.0170599313171596,292,0.0323474022377313,3,0.000332336324360253
women-coded,film,20-29,36197,241,0.00665801033234799,99,0.00273503329005166,72,0.00198911512003757
women-coded,film,30-34,21245,154,0.00724876441515651,108,0.0050835490703695,88,0.00414215109437515
women-coded,film,35-39,15685,105,0.0066942939113803,207,0.0131973222824354,111,0.0070768249920306
women-coded,film,40-49,20099,141,0.00701527439176078,563,0.0280113438479526,98,0.0048758644708692
women-coded,film,50-59,11318,141,0.0124580314543206,545,0.0481533839901043,38,0.00335748365435589
women-coded,film,60-69,6272,165,0.0263073979591837,327,0.0521364795918367,15,0.00239158163265306
women-coded,film,70-80,3209,132,0.0411343097538174,147,0.045808663134933,5,0.0015581177937052
men-coded,television,20-29,409663,3586,0.00875353644336931,445,0.00108625870532609,49,0.000119610509125794
men-coded,television,30-34,324693,2830,0.00871592550501551,751,0.00231295408277973,70,0.000215588263374942
men-coded,television,35-39,311293,2759,0.0088630325770255,1333,0.00428213933496738,301,0.000966934688541021
men-coded,television,40-49,472980,4996,0.0105628144953275,3521,0.00744428939912893,118,0.000249482007695886
men-coded,television,50-59,282515,2806,0.00993221598853158,2938,0.0103994478169301,20,0.0000707927012724988
men-coded,television,60-69,130380,1245,0.00954901058444547,993,0.00761619880349747,26,0.000199417088510508
men-coded,television,70-80,54847,889,0.0162087260925848,506,0.00922566412018889,5,0.0000911626889346728
women-coded,television,20-29,553285,3019,0.00545650071843625,2156,0.00389672591883026,1814,0.00327859963671526
women-coded,television,30-34,294606,1420,0.00481999687718512,1796,0.00609627774043977,298,0.00101152047140927
women-coded,television,35-39,231289,1406,0.00607897478911665,1628,0.00703881291371401,136,0.000588008941194782
women-coded,television,40-49,303009,1491,0.00492064592140828,3537,0.0116729206063186,188,0.000620443617186288
women-coded,television,50-59,167812,767,0.00457059089933974,2218,0.0132171715967869,275,0.00163873858842038
women-coded,television,60-69,73860,1262,0.0170863796371514,1397,0.0189141619279718,23,0.000311399945843488
women-coded,television,70-80,36461,628,0.0172238830531253,504,0.0138229889470942,1,0.0000274265653712186
