credit_group,age,performers_at_risk,performer_years,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
men-coded,26,93,93,69,69,0.741935483870968,0.741935483870968,0.795,0.933252180969771
men-coded,27,116,116,92,92,0.793103448275862,0.793103448275862,0.795,0.997614400346996
men-coded,28,118,118,87,87,0.73728813559322,0.73728813559322,0.795,0.927406459865686
men-coded,29,119,119,93,93,0.781512605042017,0.781512605042017,0.795,0.983034723323292
men-coded,30,120,120,91,91,0.758333333333333,0.758333333333333,0.795,0.953878406708595
men-coded,31,120,120,107,107,0.891666666666667,0.891666666666667,0.795,1.12159329140461
men-coded,32,120,120,96,96,0.8,0.8,0.795,1.0062893081761
men-coded,33,120,120,94,94,0.783333333333333,0.783333333333333,0.795,0.985324947589099
men-coded,34,120,120,89,89,0.741666666666667,0.741666666666667,0.795,0.932914046121593
men-coded,35,120,120,90,90,0.75,0.75,0.795,0.943396226415094
men-coded,36,120,120,88,88,0.733333333333333,0.733333333333333,0.795,0.922431865828092
men-coded,37,120,120,89,89,0.741666666666667,0.741666666666667,0.795,0.932914046121593
men-coded,38,120,120,88,88,0.733333333333333,0.733333333333333,0.795,0.922431865828092
men-coded,39,120,120,98,98,0.816666666666667,0.816666666666667,0.795,1.0272536687631
men-coded,40,120,120,90,90,0.75,0.75,0.795,0.943396226415094
men-coded,41,120,120,97,97,0.808333333333333,0.808333333333333,0.795,1.0167714884696
men-coded,42,120,120,97,97,0.808333333333333,0.808333333333333,0.795,1.0167714884696
men-coded,43,119,119,97,97,0.815126050420168,0.815126050420168,0.795,1.02531578669204
men-coded,44,119,119,89,89,0.747899159663866,0.747899159663866,0.795,0.940753659954548
men-coded,45,120,120,87,87,0.725,0.725,0.795,0.911949685534591
men-coded,46,120,120,97,97,0.808333333333333,0.808333333333333,0.795,1.0167714884696
men-coded,47,120,120,82,82,0.683333333333333,0.683333333333333,0.795,0.859538784067086
men-coded,48,120,120,91,91,0.758333333333333,0.758333333333333,0.795,0.953878406708595
men-coded,49,120,120,85,85,0.708333333333333,0.708333333333333,0.795,0.890985324947589
men-coded,50,120,120,87,87,0.725,0.725,0.795,0.911949685534591
men-coded,51,120,120,90,90,0.75,0.75,0.795,0.943396226415094
men-coded,52,120,120,79,79,0.658333333333333,0.658333333333333,0.795,0.828092243186583
men-coded,53,120,120,78,78,0.65,0.65,0.795,0.817610062893082
men-coded,54,120,120,65,65,0.541666666666667,0.541666666666667,0.795,0.681341719077568
men-coded,55,120,120,77,77,0.641666666666667,0.641666666666667,0.795,0.807127882599581
men-coded,56,120,120,70,70,0.583333333333333,0.583333333333333,0.795,0.733752620545073
men-coded,57,119,119,68,68,0.571428571428571,0.571428571428571,0.795,0.718778077268643
men-coded,58,118,118,66,66,0.559322033898305,0.559322033898305,0.795,0.703549728173969
men-coded,59,119,119,59,59,0.495798319327731,0.495798319327731,0.795,0.62364568468897
men-coded,60,116,116,71,71,0.612068965517241,0.612068965517241,0.795,0.769898069833008
women-coded,26,98,98,81,81,0.826530612244898,0.826530612244898,0.75,1.10204081632653
women-coded,27,112,112,89,89,0.794642857142857,0.794642857142857,0.75,1.05952380952381
women-coded,28,119,119,88,88,0.739495798319328,0.739495798319328,0.75,0.985994397759104
women-coded,29,119,119,88,88,0.739495798319328,0.739495798319328,0.75,0.985994397759104
women-coded,30,120,120,95,95,0.791666666666667,0.791666666666667,0.75,1.05555555555556
women-coded,31,120,120,91,91,0.758333333333333,0.758333333333333,0.75,1.01111111111111
women-coded,32,120,120,89,89,0.741666666666667,0.741666666666667,0.75,0.988888888888889
women-coded,33,120,120,87,87,0.725,0.725,0.75,0.966666666666667
women-coded,34,120,120,88,88,0.733333333333333,0.733333333333333,0.75,0.977777777777778
women-coded,35,120,120,93,93,0.775,0.775,0.75,1.03333333333333
women-coded,36,120,120,94,94,0.783333333333333,0.783333333333333,0.75,1.04444444444444
women-coded,37,120,120,92,92,0.766666666666667,0.766666666666667,0.75,1.02222222222222
women-coded,38,120,120,85,85,0.708333333333333,0.708333333333333,0.75,0.944444444444444
women-coded,39,120,120,80,80,0.666666666666667,0.666666666666667,0.75,0.888888888888889
women-coded,40,120,120,84,84,0.7,0.7,0.75,0.933333333333333
women-coded,41,120,120,72,72,0.6,0.6,0.75,0.8
women-coded,42,120,120,88,88,0.733333333333333,0.733333333333333,0.75,0.977777777777778
women-coded,43,120,120,64,64,0.533333333333333,0.533333333333333,0.75,0.711111111111111
women-coded,44,119,119,73,73,0.613445378151261,0.613445378151261,0.75,0.817927170868348
women-coded,45,118,118,65,65,0.550847457627119,0.550847457627119,0.75,0.734463276836158
women-coded,46,118,118,61,61,0.516949152542373,0.516949152542373,0.75,0.689265536723164
women-coded,47,120,120,66,66,0.55,0.55,0.75,0.733333333333333
women-coded,48,117,117,57,57,0.487179487179487,0.487179487179487,0.75,0.64957264957265
women-coded,49,117,117,50,50,0.427350427350427,0.427350427350427,0.75,0.56980056980057
women-coded,50,118,118,47,47,0.398305084745763,0.398305084745763,0.75,0.531073446327684
women-coded,51,115,115,39,39,0.339130434782609,0.339130434782609,0.75,0.452173913043478
women-coded,52,111,111,40,40,0.36036036036036,0.36036036036036,0.75,0.480480480480481
women-coded,53,106,106,32,32,0.30188679245283,0.30188679245283,0.75,0.40251572327044
women-coded,54,104,104,23,23,0.221153846153846,0.221153846153846,0.75,0.294871794871795
women-coded,55,101,101,27,27,0.267326732673267,0.267326732673267,0.75,0.356435643564357
women-coded,56,98,98,25,25,0.255102040816327,0.255102040816327,0.75,0.340136054421769
women-coded,57,90,90,20,20,0.222222222222222,0.222222222222222,0.75,0.296296296296296
women-coded,58,90,90,17,17,0.188888888888889,0.188888888888889,0.75,0.251851851851852
women-coded,59,88,88,11,11,0.125,0.125,0.75,0.166666666666667
women-coded,60,87,87,14,14,0.160919540229885,0.160919540229885,0.75,0.21455938697318
