credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
men-coded,film,18,896,575,0.641741071428571,0.709431460301674,0.904585019609479
men-coded,film,19,1131,701,0.619805481874447,0.709431460301674,0.873665063586108
men-coded,film,20,1367,877,0.64155084125823,0.709431460301674,0.90431687507264
men-coded,film,21,1691,1109,0.655824955647546,0.709431460301674,0.924437373229356
men-coded,film,22,2047,1350,0.659501709819248,0.709431460301674,0.929620050312972
men-coded,film,23,2345,1639,0.698933901918977,0.709431460301674,0.985202857541399
men-coded,film,24,2835,1895,0.668430335097002,0.709431460301674,0.942205656925283
men-coded,film,25,3269,2205,0.674518201284797,0.709431460301674,0.950786987932518
men-coded,film,26,3721,2585,0.69470572426767,0.709431460301674,0.97924290525861
men-coded,film,27,4036,2790,0.691278493557978,0.709431460301674,0.974411951316655
men-coded,film,28,4286,2989,0.697386840877275,0.709431460301674,0.983022152105747
men-coded,film,29,4519,3173,0.702146492586856,0.709431460301674,0.989731259293574
men-coded,film,30,4632,3273,0.70660621761658,0.709431460301674,0.996017596000194
men-coded,film,31,4784,3374,0.705267558528428,0.709431460301674,0.994130649673366
men-coded,film,32,4886,3482,0.712648383135489,0.709431460301674,1.00453450828421
men-coded,film,33,4926,3508,0.712139667072676,0.709431460301674,1.00381743258165
men-coded,film,34,4904,3483,0.710236541598695,0.709431460301674,1.00113482604321
men-coded,film,35,4834,3466,0.717004551096401,0.709431460301674,1.01067487307584
men-coded,film,36,4881,3531,0.723417332513829,0.709431460301674,1.01971419791026
men-coded,film,37,4830,3501,0.724844720496894,0.709431460301674,1.02172621466303
men-coded,film,38,4788,3496,0.73015873015873,0.709431460301674,1.02921673342234
men-coded,film,39,4675,3372,0.721283422459893,0.709431460301674,1.01670628217302
men-coded,film,40,4553,3324,0.730068086975621,0.709431460301674,1.02908896465512
men-coded,film,41,4460,3271,0.733408071748879,0.709431460301674,1.03379693851892
men-coded,film,42,4344,3216,0.740331491712707,0.709431460301674,1.04355604894924
men-coded,film,43,4134,3079,0.744799225931302,0.709431460301674,1.04985367524382
men-coded,film,44,4124,3081,0.747090203685742,0.709431460301674,1.05308299038226
