credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
men-coded,film,19,1040,1040,280,397,0.269230769230769,0.381730769230769,0.254429894686769,1.05817270239498
men-coded,film,20,2085,2085,529,754,0.253717026378897,0.361630695443645,0.254429894686769,0.997198173945912
men-coded,film,21,3127,3127,780,1123,0.249440358170771,0.359130156699712,0.254429894686769,0.980389346455765
men-coded,film,22,4288,4288,1043,1498,0.243236940298507,0.349347014925373,0.254429894686769,0.956007707340989
men-coded,film,23,5619,5619,1281,1837,0.227976508275494,0.326926499377113,0.254429894686769,0.896028780565105
men-coded,film,24,6660,6660,1592,2268,0.239039039039039,0.340540540540541,0.254429894686769,0.939508461980547
men-coded,film,25,7855,7855,1920,2722,0.244430299172502,0.346530872056015,0.254429894686769,0.960698032255297
men-coded,film,26,9134,9134,2222,3223,0.243266914823736,0.352857455660171,0.254429894686769,0.956125517888625
men-coded,film,27,10484,10484,2667,3848,0.25438763830599,0.367035482640214,0.254429894686769,0.999833917390757
men-coded,film,28,11695,11695,2884,4244,0.246601111586148,0.362890123984609,0.254429894686769,0.969230097311248
men-coded,film,29,12985,12985,3296,4828,0.253831343858298,0.371813631112823,0.254429894686769,0.997647482308602
men-coded,film,30,13887,13887,3440,5057,0.247713689061712,0.364153524879384,0.254429894686769,0.973602922591604
men-coded,film,31,14711,14711,3732,5497,0.253687716674597,0.373665964244443,0.254429894686769,0.997082976381036
men-coded,film,32,15319,15319,3906,5822,0.254977478947712,0.380050917161695,0.254429894686769,1.00215220094957
men-coded,film,33,15757,15757,4055,6162,0.257345941486324,0.391064288887479,0.254429894686769,1.01146110131101
men-coded,film,34,16005,16005,4122,6296,0.257544517338332,0.393377069665729,0.254429894686769,1.01224157505311
men-coded,film,35,16216,16216,4185,6452,0.258078441045881,0.397878638381845,0.254429894686769,1.01434008516807
men-coded,film,36,16214,16214,4204,6603,0.259282101887258,0.407240656223017,0.254429894686769,1.01907090047914
men-coded,film,37,16167,16167,4231,6680,0.261705944207336,0.413187356961712,0.254429894686769,1.0285974630832
men-coded,film,38,16019,16019,4220,6673,0.263437168362569,0.416567825706973,0.254429894686769,1.03540178989929
men-coded,film,39,15858,15858,4174,6599,0.263210997603733,0.416130659603985,0.254429894686769,1.03451285835642
men-coded,film,40,15600,15600,4127,6644,0.264551282051282,0.425897435897436,0.254429894686769,1.03978065304383
men-coded,film,41,15383,15383,4153,6570,0.269973347201456,0.427094844958721,0.254429894686769,1.0610912979932
men-coded,film,42,15045,15045,4073,6527,0.270721169823862,0.433831837819874,0.254429894686769,1.06403050693846
men-coded,film,43,14723,14723,3882,6295,0.263669089180194,0.427562317462474,0.254429894686769,1.0363133212188
