period,scope,age,women_roles,men_roles,women_share
2000-2012,film,20,1431,1032,0.580998781973204
2000-2012,film,21,1844,1279,0.590457893051553
2000-2012,film,22,2182,1615,0.574664208585726
2000-2012,film,23,2507,1800,0.582075690736011
2000-2012,film,24,2821,2194,0.562512462612164
2000-2012,film,25,2933,2586,0.531436854502627
2000-2012,film,26,3096,2981,0.509461905545499
2000-2012,film,27,3157,3148,0.50071371927042
2000-2012,film,28,3041,3372,0.474193045376579
2000-2012,film,29,2976,3507,0.459046737621472
2000-2012,film,30,2922,3716,0.440192829165411
2000-2012,film,31,2845,3910,0.421169504071059
2000-2012,film,32,2578,3896,0.398208217485326
2000-2012,film,33,2319,3885,0.373791102514507
2000-2012,film,34,2251,3916,0.36500729690287
2000-2012,film,35,2113,3945,0.348794981842192
2000-2012,film,36,1933,4031,0.324111334674715
2000-2012,film,37,1809,3869,0.318598097921803
2000-2012,film,38,1746,3898,0.309355067328136
2000-2012,film,39,1527,3840,0.284516489659027
2000-2012,film,40,1546,3774,0.290601503759399
2000-2012,film,41,1497,3612,0.29301233118027
2000-2012,film,42,1265,3537,0.263431903373594
2000-2012,film,43,1217,3394,0.263934070700499
2000-2012,film,44,1136,3293,0.256491307292843
2000-2012,film,45,1045,3331,0.238802559414991
2000-2012,film,46,1083,3261,0.249309392265193
2000-2012,film,47,1013,3204,0.240218164571971
2000-2012,film,48,912,3038,0.230886075949367
2000-2012,film,49,868,2965,0.226454474302113
2000-2012,film,50,797,2957,0.212306872669153
2000-2012,film,51,783,2714,0.223906205318845
2000-2012,film,52,731,2765,0.209096109839817
2000-2012,film,53,716,2519,0.221329211746522
2000-2012,film,54,653,2389,0.214661406969099
2000-2012,film,55,636,2302,0.216473791695031
2000-2012,film,56,626,2301,0.213870857533311
2000-2012,film,57,653,2098,0.237368229734642
2000-2012,film,58,552,2069,0.210606638687524
2000-2012,film,59,556,1983,0.218983851910201
2000-2012,film,60,451,1905,0.191426146010187
2000-2012,film,61,496,1761,0.219760744350908
2000-2012,film,62,437,1674,0.20701089531028
2000-2012,film,63,441,1531,0.223630831643002
2000-2012,film,64,396,1458,0.213592233009709
2000-2012,film,65,421,1360,0.236384053902302
2000-2012,film,66,326,1214,0.211688311688312
2000-2012,film,67,302,1031,0.22655663915979
2000-2012,film,68,304,914,0.249589490968801
2000-2012,film,69,269,876,0.234934497816594
2000-2012,film,70,241,870,0.216921692169217
2000-2012,overall,20,3321,2593,0.561548867095029
2000-2012,overall,21,4075,3029,0.573620495495496
2000-2012,overall,22,4802,3832,0.556173268473477
2000-2012,overall,23,5617,4336,0.564352456545765
2000-2012,overall,24,6279,5145,0.549632352941177
2000-2012,overall,25,6577,5846,0.529421234806407
2000-2012,overall,26,7040,6482,0.520633042449342
2000-2012,overall,27,7228,7132,0.503342618384401
2000-2012,overall,28,7036,7732,0.476435536294691
2000-2012,overall,29,6884,8165,0.457439032493853
2000-2012,overall,30,6904,8600,0.4453044375645
2000-2012,overall,31,6748,9008,0.428281289667428
2000-2012,overall,32,6262,8983,0.410757625450968
2000-2012,overall,33,5842,9056,0.392133172237884
2000-2012,overall,34,5665,9192,0.381301743285993
2000-2012,overall,35,5327,9139,0.3682427761648
2000-2012,overall,36,5068,9245,0.354083700132747
2000-2012,overall,37,4703,9014,0.342859225778231
2000-2012,overall,38,4522,9132,0.331185000732386
2000-2012,overall,39,4179,8944,0.318448525489598
2000-2012,overall,40,3960,8948,0.30678648899907
2000-2012,overall,41,3888,8657,0.309924272618573
2000-2012,overall,42,3506,8398,0.294522849462366
2000-2012,overall,43,3349,8079,0.29305215260763
2000-2012,overall,44,3068,7789,0.282582665561389
2000-2012,overall,45,2883,7450,0.279009000290332
2000-2012,overall,46,2741,7223,0.275090325170614
2000-2012,overall,47,2521,7048,0.263454906468806
2000-2012,overall,48,2484,6648,0.272010512483574
2000-2012,overall,49,2313,6496,0.262572369167896
2000-2012,overall,50,2118,6408,0.248416608022519
2000-2012,overall,51,2048,5768,0.262026612077789
2000-2012,overall,52,1931,5738,0.251792932585735
2000-2012,overall,53,1833,5372,0.25440666204025
2000-2012,overall,54,1770,5086,0.258168028004667
2000-2012,overall,55,1655,4821,0.25555898702903
2000-2012,overall,56,1571,4704,0.250358565737052
2000-2012,overall,57,1516,4361,0.257954738812319
