release_year,medium,credit_group,principal_credits,performers,titles,missing_birth_year
1995,film,men-coded,7962,5095,1933,0
1995,film,women-coded,4043,2836,1678,0
1995,television,men-coded,63020,7333,14638,0
1995,television,women-coded,44795,4228,13638,0
1996,film,men-coded,8230,5326,2038,0
1996,film,women-coded,4213,3002,1724,0
1996,television,men-coded,61524,7345,14510,0
1996,television,women-coded,43102,4315,13066,0
1997,film,men-coded,8785,5764,2154,0
1997,film,women-coded,4525,3167,1858,0
1997,television,men-coded,70170,8069,16696,0
1997,television,women-coded,49422,4798,15113,0
1998,film,men-coded,9137,6034,2280,0
1998,film,women-coded,4646,3330,1937,0
1998,television,men-coded,72754,8099,17432,0
1998,television,women-coded,51547,4860,16096,0
1999,film,men-coded,9492,6195,2415,0
1999,film,women-coded,4784,3371,2031,0
1999,television,men-coded,79942,8521,19308,0
1999,television,women-coded,59763,5071,17993,0
2000,film,men-coded,9235,6148,2412,0
2000,film,women-coded,4851,3417,1999,0
2000,television,men-coded,78925,8472,19096,0
2000,television,women-coded,60112,5255,17922,0
2001,film,men-coded,9767,6617,2575,0
2001,film,women-coded,5001,3629,2134,0
2001,television,men-coded,82000,8442,20575,0
2001,television,women-coded,60412,5480,18869,0
2002,film,men-coded,9096,6154,2413,0
2002,film,women-coded,4648,3446,2008,0
2002,television,men-coded,85591,8464,21739,0
2002,television,women-coded,65540,5453,20673,0
2003,film,men-coded,9307,6502,2539,0
2003,film,women-coded,4930,3686,2101,0
2003,television,men-coded,88415,8445,22109,0
2003,television,women-coded,69701,5510,21623,0
2004,film,men-coded,9687,6703,2636,0
2004,film,women-coded,5238,3885,2215,0
2004,television,men-coded,98125,8874,23832,0
2004,television,women-coded,78252,5789,23736,0
2005,film,men-coded,10828,7452,3054,0
2005,film,women-coded,5791,4245,2448,0
2005,television,men-coded,106737,9476,27088,0
2005,television,women-coded,88898,6351,26307,0
2006,film,men-coded,11839,8116,3275,0
2006,film,women-coded,6265,4639,2718,0
2006,television,men-coded,115263,9541,28748,0
2006,television,women-coded,90733,6581,27559,0
2007,film,men-coded,11882,8258,3402,0
2007,film,women-coded,6323,4725,2693,0
2007,television,men-coded,130703,9996,33421,0
2007,television,women-coded,106934,6626,31206,0
2008,film,men-coded,12321,8522,3657,0
2008,film,women-coded,6602,4949,2942,0
2008,television,men-coded,131216,9964,35572,0
2008,television,women-coded,107658,6695,33046,0
2009,film,men-coded,13353,9236,4135,0
2009,film,women-coded,7173,5374,3219,0
2009,television,men-coded,135280,10463,37394,0
2009,television,women-coded,109221,7020,34229,0
2010,film,men-coded,13676,9239,4192,0
2010,film,women-coded,7396,5467,3302,0
2010,television,men-coded,139928,10684,39798,0
2010,television,women-coded,111327,7036,37168,0
2011,film,men-coded,14435,9744,4462,0
2011,film,women-coded,7935,5809,3557,0
2011,television,men-coded,152264,11829,44592,0
2011,television,women-coded,125408,8028,41914,0
2012,film,men-coded,14681,9900,4671,0
2012,film,women-coded,8349,6183,3761,0
2012,television,men-coded,150176,12081,44205,0
2012,television,women-coded,123989,8110,43443,0
2013,film,ambiguous,1,1,1,0
2013,film,men-coded,15279,10152,4930,0
2013,film,women-coded,8689,6276,3938,0
2013,television,men-coded,150107,12054,45618,0
2013,television,women-coded,120468,8293,41909,0
2014,film,men-coded,15450,10385,5104,0
2014,film,women-coded,9058,6595,4134,0
2014,television,men-coded,163155,12615,49605,0
2014,television,women-coded,128121,8495,43937,0
2015,film,men-coded,15924,10601,5324,0
2015,film,women-coded,9412,6813,4260,0
2015,television,men-coded,178324,13208,54000,0
2015,television,women-coded,138927,9199,48179,0
2016,film,men-coded,16520,10983,5545,0
2016,film,women-coded,9920,7085,4559,0
2016,television,men-coded,181914,13705,54877,0
2016,television,women-coded,147560,9567,50332,0
2017,film,men-coded,16637,10936,5677,0
2017,film,women-coded,9846,7040,4565,0
2017,television,men-coded,189684,13914,59965,0
2017,television,women-coded,160647,9843,56915,0
2018,film,ambiguous,1,1,1,0
2018,film,men-coded,15740,10497,5687,0
2018,film,women-coded,10051,7223,4645,0
2018,television,men-coded,188720,13918,58561,0
2018,television,women-coded,157168,9960,56768,0
2019,film,ambiguous,1,1,1,0
2019,film,men-coded,16035,10617,5634,0
2019,film,women-coded,9850,7105,4628,0
2019,television,men-coded,179979,13979,58243,0
2019,television,women-coded,150243,10167,56335,0
2020,film,men-coded,11013,8147,4255,0
2020,film,women-coded,7030,5502,3363,0
2020,television,ambiguous,1,1,1,0
2020,television,men-coded,147016,13174,46039,0
2020,television,women-coded,113497,9397,41835,0
2021,film,men-coded,12467,8665,4729,0
2021,film,women-coded,7635,5763,3745,0
2021,television,men-coded,170664,13319,59834,0
2021,television,women-coded,143855,9658,58703,0
2022,film,men-coded,13619,9059,5331,0
2022,film,women-coded,8602,6230,4249,0
2022,television,ambiguous,1,1,1,0
2022,television,men-coded,173449,13271,68986,0
2022,television,women-coded,154724,9555,69385,0
2023,film,men-coded,13881,9244,5378,0
2023,film,women-coded,8516,6169,4299,0
2023,television,men-coded,170391,12311,66969,0
2023,television,women-coded,154036,9044,72153,0
2024,film,men-coded,12991,8674,5232,0
2024,film,women-coded,7751,5731,4044,0
2024,television,men-coded,165942,11276,64862,0
2024,television,women-coded,144617,8101,65162,0
2025,film,men-coded,12269,8251,5029,0
2025,film,women-coded,7160,5271,3844,0
2025,television,men-coded,141268,10639,56132,0
2025,television,women-coded,126372,7772,52391,0
