age,hinge,predicted_women_share,scope,estimated_change_age
20,0,0.600792208536321,overall,43
21,0,0.588335600418774,overall,43
22,0,0.575764767296609,overall,43
23,0,0.563095130362399,overall,43
24,0,0.550342619667491,overall,43
25,0,0.537523596735554,overall,43
26,0,0.524654772451043,overall,43
27,0,0.511753121075323,overall,43
28,0,0.498835791316261,overall,43
29,0,0.485920015433428,overall,43
30,0,0.473023017398842,overall,43
31,0,0.460161921151501,overall,43
32,0,0.447353659982111,overall,43
33,0,0.434614888062577,overall,43
34,0,0.421961895093532,overall,43
35,0,0.409410524983763,overall,43
36,0,0.396976099399449,overall,43
37,0,0.384673346930907,overall,43
38,0,0.372516338522523,overall,43
39,0,0.360518429700551,overall,43
40,0,0.348692210016371,overall,43
41,0,0.337049460002603,overall,43
42,0,0.32560111581918,overall,43
43,0,0.314357241648673,overall,43
44,1,0.311469833075952,overall,43
45,2,0.308597008923465,overall,43
46,3,0.305738916072762,overall,43
47,4,0.302895697259742,overall,43
48,5,0.300067491069967,overall,43
49,6,0.297254431936136,overall,43
50,7,0.29445665013771,overall,43
51,8,0.291674271802633,overall,43
52,9,0.288907418911137,overall,43
53,10,0.286156209301583,overall,43
54,11,0.283420756678307,overall,43
55,12,0.28070117062144,overall,43
56,13,0.277997556598646,overall,43
57,14,0.275310015978762,overall,43
58,15,0.272638646047283,overall,43
59,16,0.269983540023656,overall,43
60,17,0.267344787080343,overall,43
61,18,0.264722472363607,overall,43
62,19,0.262116677015977,overall,43
63,20,0.259527478200353,overall,43
64,21,0.256954949125694,overall,43
65,22,0.254399159074263,overall,43
20,0,0.623145421501535,film,42
21,0,0.608410673868513,film,42
22,0,0.593475653004093,film,42
23,0,0.578365765852096,film,42
24,0,0.563107702460454,film,42
25,0,0.547729257961606,film,42
26,0,0.532259137315267,film,42
27,0,0.516726745596942,film,42
28,0,0.501161967004942,film,42
29,0,0.485594936068198,film,42
30,0,0.470055804753926,film,42
31,0,0.454574509289025,film,42
32,0,0.439180540517136,film,42
33,0,0.423902721514208,film,42
34,0,0.408768995983342,film,42
35,0,0.393806230653321,film,42
36,0,0.379040034526777,film,42
37,0,0.364494597378922,film,42
38,0,0.350192549413799,film,42
39,0,0.336154843460933,film,42
40,0,0.322400660560217,film,42
41,0,0.308947339255267,film,42
42,0,0.295810328412115,film,42
43,1,0.29211323573788,film,42
44,2,0.288443423168078,film,42
45,3,0.284801165634281,film,42
46,4,0.281186725278051,film,42
47,5,0.277600351493856,film,42
48,6,0.274042280982385,film,42
49,7,0.270512737813978,film,42
50,8,0.267011933501875,film,42
51,9,0.263540067084969,film,42
52,10,0.260097325219768,film,42
53,11,0.256683882281215,film,42
54,12,0.253299900472082,film,42
55,13,0.249945529940559,film,42
56,14,0.246620908905739,film,42
57,15,0.243326163790645,film,42
58,16,0.240061409362454,film,42
59,17,0.236826748879583,film,42
60,18,0.233622274245285,film,42
61,19,0.230448066167414,film,42
62,20,0.227304194324013,film,42
63,21,0.224190717534384,film,42
64,22,0.221107683935286,film,42
65,23,0.218055131161944,film,42
20,0,0.585840387789176,television,44
21,0,0.574941483199756,television,44
22,0,0.563969235662741,television,44
23,0,0.55293399312422,television,44
24,0,0.541846349431012,television,44
25,0,0.530717104598208,television,44
26,0,0.519557223365378,television,44
27,0,0.508377792373531,television,44
28,0,0.497189976314588,television,44
29,0,0.486004973419982,television,44
30,0,0.474833970664543,television,44
31,0,0.463688099065983,television,44
32,0,0.452578389458918,television,44
33,0,0.441515729115428,television,44
34,0,0.430510819571981,television,44
35,0,0.419574136005153,television,44
36,0,0.408715888476615,television,44
37,0,0.397945985341569,television,44
38,0,0.387273999084925,television,44
39,0,0.376709134816537,television,44
40,0,0.366260201621475,television,44
41,0,0.355935586924329,television,44
42,0,0.345743233988531,television,44
43,0,0.335690622633472,television,44
44,0,0.325784753214355,television,44
45,1,0.323804849188098,television,44
46,2,0.321831234068507,television,44
47,3,0.31986395798711,television,44
48,4,0.317903070238914,television,44
49,5,0.315948619280306,television,44
50,6,0.314000652727162,television,44
51,7,0.312059217353168,television,44
52,8,0.310124359088351,television,44
53,9,0.308196123017813,television,44
54,10,0.306274553380679,television,44
55,11,0.304359693569237,television,44
56,12,0.302451586128292,television,44
57,13,0.300550272754716,television,44
58,14,0.298655794297194,television,44
59,15,0.296768190756173,television,44
60,16,0.294887501284003,television,44
61,17,0.293013764185269,television,44
62,18,0.291147016917318,television,44
63,19,0.289287296090974,television,44
64,20,0.287434637471434,television,44
65,21,0.285589075979359,television,44
