scope,age,women_coded_roles,total_roles,women_coded_share
film,18,1650,2872,0.574512534818942
film,19,2051,3604,0.569089900110988
film,20,2680,4558,0.587977182974989
film,21,3391,5808,0.583849862258953
film,22,4072,7037,0.578655677135143
film,23,4844,8250,0.587151515151515
film,24,5487,9631,0.569722770221161
film,25,5946,10689,0.556272803817008
film,26,6407,11895,0.538629676334594
film,27,6644,12654,0.52505136715663
film,28,6737,13255,0.508261033572237
film,29,6750,13802,0.489059556586002
film,30,6647,13909,0.477892012366094
film,31,6536,14217,0.459731307589506
film,32,6259,14197,0.440867788969501
film,33,5892,14126,0.417103213931757
film,34,5778,14073,0.410573438499254
film,35,5433,13750,0.395127272727273
film,36,4981,13496,0.36907231772377
film,37,4645,13100,0.354580152671756
film,38,4380,12855,0.340723453908985
film,39,4114,12448,0.330494858611825
film,40,3958,12289,0.322076653918138
film,41,3846,11986,0.320874353412314
film,42,3531,11602,0.304344078607137
film,43,3394,11196,0.303143979992855
film,44,3329,11134,0.298994072211245
film,45,3117,10951,0.284631540498585
film,46,2987,10618,0.281314748540215
film,47,2864,10326,0.277358125121054
film,48,2659,9868,0.269456830158087
film,49,2535,9732,0.260480887792848
film,50,2352,9234,0.254710851202079
film,51,2325,8976,0.259024064171123
film,52,2205,8815,0.250141803743619
film,53,2201,8468,0.259919697685404
film,54,2030,8006,0.253559830127404
film,55,1851,7550,0.245165562913907
film,56,1755,7456,0.235380901287554
film,57,1714,7089,0.241783044152913
film,58,1520,6739,0.225552752633922
film,59,1524,6414,0.237605238540692
film,60,1414,6156,0.229694606887589
film,61,1385,5779,0.239660840975947
film,62,1235,5445,0.226813590449954
film,63,1236,5113,0.241736749462155
film,64,1124,4845,0.231991744066047
film,65,1096,4597,0.23841635849467
film,66,1012,4288,0.236007462686567
film,67,970,3957,0.245135203436947
film,68,915,3673,0.249115164715491
film,69,829,3354,0.24716756112105
film,70,782,3195,0.244757433489828
film,71,703,2807,0.250445315283221
film,72,690,2582,0.267234701781565
film,73,658,2364,0.27834179357022
film,74,574,2150,0.266976744186047
film,75,562,1880,0.298936170212766
film,76,468,1683,0.27807486631016
film,77,444,1584,0.28030303030303
film,78,432,1416,0.305084745762712
film,79,384,1189,0.32296047098402
film,80,323,1022,0.316046966731898
overall,18,4238,7616,0.556460084033613
overall,19,5239,9436,0.555214073760068
overall,20,6523,11566,0.563980632889504
overall,21,7994,14086,0.567513843532586
overall,22,9583,17009,0.56340760773708
overall,23,11365,20019,0.567710674858884
overall,24,13055,23372,0.558574362485025
overall,25,14205,26168,0.542838581473555
overall,26,15450,28902,0.534565082001246
overall,27,16213,31166,0.520214336135532
overall,28,16552,32718,0.505898893575402
overall,29,16551,33725,0.490763528539659
overall,30,16484,34320,0.48030303030303
overall,31,16234,35051,0.463153690336938
overall,32,15693,34997,0.448409863702603
overall,33,15053,35080,0.429104903078677
overall,34,14640,34692,0.421999308197855
overall,35,13854,33906,0.408600247743762
overall,36,13016,33299,0.39088260908736
overall,37,12098,32280,0.374783147459727
overall,38,11625,31778,0.365819120146013
overall,39,10946,30799,0.355401149387967
overall,40,10479,30452,0.344115329042427
overall,41,10215,29831,0.34242901679461
overall,42,9661,29162,0.331287291680955
overall,43,9222,28236,0.326604334891628
overall,44,8821,27600,0.319601449275362
overall,45,8468,26897,0.314830650258393
overall,46,7874,25680,0.306619937694704
overall,47,7436,24804,0.29979035639413
overall,48,7204,23933,0.301006977813061
overall,49,6834,23412,0.291901588928755
overall,50,6315,22293,0.283272776207778
overall,51,6175,21422,0.288255064886565
overall,52,5966,20874,0.285810098687362
overall,53,5654,19918,0.28386384175118
overall,54,5301,18813,0.281773241907192
overall,55,4849,17639,0.274902205340439
overall,56,4492,16943,0.265124240099156
overall,57,4322,16066,0.269015311838666
overall,58,3958,15141,0.261409418136187
overall,59,3853,14291,0.269610244209642
overall,60,3527,13519,0.260892077816407
overall,61,3508,12818,0.2736776408176
overall,62,3170,12059,0.262874201840949
overall,63,3084,11289,0.27318628753654
overall,64,2842,10547,0.269460510097658
overall,65,2763,9872,0.279882495948136
overall,66,2524,9084,0.277851166886834
overall,67,2370,8439,0.280838961962318
overall,68,2183,7702,0.283432874578032
overall,69,2013,7068,0.284804753820034
overall,70,1933,6617,0.292126341242255
overall,71,1743,5967,0.292106586224233
overall,72,1691,5481,0.308520343003102
overall,73,1575,4978,0.316392125351547
overall,74,1349,4438,0.30396575033799
overall,75,1312,4007,0.327427002745196
overall,76,1146,3586,0.31957612939208
overall,77,1082,3366,0.321449792038027
overall,78,981,2940,0.333673469387755
overall,79,887,2509,0.35352730171383
overall,80,773,2124,0.363935969868173
television,18,2588,4744,0.545531197301855
television,19,3188,5832,0.546639231824417
television,20,3843,7008,0.548373287671233
television,21,4603,8278,0.556052186518483
television,22,5511,9972,0.552647412755716
television,23,6521,11769,0.554082759792676
television,24,7568,13741,0.550760497780365
television,25,8259,15479,0.533561599586537
television,26,9043,17007,0.531722232022109
television,27,9569,18512,0.516907951598963
television,28,9815,19463,0.504290191645687
television,29,9801,19923,0.491943984339708
television,30,9837,20411,0.481946009504679
television,31,9698,20834,0.465489104348661
television,32,9434,20800,0.453557692307692
television,33,9161,20954,0.437195762145652
television,34,8862,20619,0.429797759348174
television,35,8421,20156,0.417791228418337
television,36,8035,19803,0.405746604049891
television,37,7453,19180,0.388581856100104
television,38,7245,18923,0.382867410030122
television,39,6832,18351,0.372295787695493
television,40,6521,18163,0.359026592523262
television,41,6369,17845,0.356906696553657
television,42,6130,17560,0.349088838268793
television,43,5828,17040,0.342018779342723
television,44,5492,16466,0.333535770678975
television,45,5351,15946,0.335570048915088
television,46,4887,15062,0.324458903200106
television,47,4572,14478,0.315789473684211
television,48,4545,14065,0.323142552435123
television,49,4299,13680,0.314254385964912
television,50,3963,13059,0.30346887204227
television,51,3850,12446,0.30933633295838
television,52,3761,12059,0.311883240733062
television,53,3453,11450,0.301572052401747
television,54,3271,10807,0.30267419265291
television,55,2998,10089,0.297155317672713
television,56,2737,9487,0.2885000527037
television,57,2608,8977,0.290520218335747
television,58,2438,8402,0.290169007379195
television,59,2329,7877,0.29567094071347
television,60,2113,7363,0.286975417628684
television,61,2123,7039,0.301605341667851
television,62,1935,6614,0.292561233746598
television,63,1848,6176,0.299222797927461
television,64,1718,5702,0.301297790249035
television,65,1667,5275,0.316018957345972
television,66,1512,4796,0.315262718932444
television,67,1400,4482,0.312360553324409
television,68,1268,4029,0.314718292380243
television,69,1184,3714,0.318793753365644
television,70,1151,3422,0.33635300993571
television,71,1040,3160,0.329113924050633
television,72,1001,2899,0.345291479820628
television,73,917,2614,0.350803366488141
television,74,775,2288,0.338723776223776
television,75,750,2127,0.352609308885755
television,76,678,1903,0.356279558591697
television,77,638,1782,0.358024691358025
television,78,549,1524,0.360236220472441
television,79,503,1320,0.381060606060606
television,80,450,1102,0.408348457350272
